name,position,nfl_team,age,owner,on_taxi,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank,is_my_team
Rachaad White,RB,WAS,27,sethfriedman12,False,2741.0,5351.9,3524.3,12.507901191711426,4.0,Serviceable,9,False
Quinn Ewers,QB,MIA,23,sethfriedman12,False,1783.0,534.9,1408.6,0.0,0.0,Replaceable,12,False
Jadarian Price,RB,SEA,22,sethfriedman12,False,4849.0,1454.7,3830.7,0.0,0.0,Upside Shot,7,False
Chris Bell,WR,MIA,21,sethfriedman12,False,2996.0,898.8,2366.8,0.0,0.0,Jag Developmental,10,False
Chuba Hubbard,RB,CAR,26,sethfriedman12,False,3311.0,5142.6,3860.5,12.018848419189453,4.0,Mainstay,4,False
George Kittle,TE,SF,32,sethfriedman12,False,3225.0,9002.9,4958.4,14.44649887084961,4.0,Short-term Winner,6,False
Pat Bryant,WR,DEN,23,sethfriedman12,False,2518.0,2992.0,2660.2,6.3307695388793945,1.0,Jag Developmental,10,False
George Pickens,WR,DAL,25,sethfriedman12,False,5872.0,6569.0,6081.1,13.899497985839844,4.0,Foundational,2,False
Tyler Shough,QB,NO,26,sethfriedman12,False,4871.0,6644.3,5403.0,16.395999908447266,1.0,Upside Shot,7,False
Cam Skattebo,RB,NYG,24,sethfriedman12,False,4718.0,6723.1,5319.5,15.712499618530273,1.0,Upside Premier,3,False
Cyrus Allen,WR,KC,23,sethfriedman12,True,752.0,225.6,594.1,0.0,0.0,Replaceable,12,False
Tre Tucker,WR,LV,25,sethfriedman12,False,2460.0,3893.5,2890.0,8.23825740814209,3.0,Serviceable,9,False
Germie Bernard,WR,PIT,22,sethfriedman12,False,2963.0,888.9,2340.8,0.0,0.0,Jag Developmental,10,False
Aaron Rodgers,QB,PIT,42,sethfriedman12,False,1878.0,6020.6,3120.8,14.85686206817627,3.0,Jag Insurance,11,False
Jauan Jennings,WR,MIN,28,sethfriedman12,False,2678.0,5049.4,3389.4,10.684150695800781,4.0,Serviceable,9,False
